Tiempo_A,Analitica,Tiempo,Euler,RK4
0.0378,0.963002,6.74351e-67,1.58901e-47,1.30423e-76
0.0379,0.962906,1.80641e-259,2.10694e-52,9.49624e-43
0.038,0.962809,1.21736e-76,1.04024e-95,8.99064e-96
0.0381,0.962713,8.52613e-96,3.9207e+179,1.17924e-95
0.0382,0.962617,4.08596e+179,2.90814e-33,3.76239e+179
0.0383,0.96252,3.93325e-62,8.22603e-67,3.69404e-33
0.0384,0.962424,8.52244e-96,9.92515e-96,1.13296e-95
0.0385,0.962328,3.11089e+179,8.61262e-67,3.1134e+179
0.0386,0.962232,6.00165e-67,5.93396e-38,6.00165e-67
0.0387,0.962135,1.04137e-42,5.59943e-67,2.42463e-52
0.0388,0.962039,1.57009e-76,1.58586e-47,1.68933e-52
0.0389,0.961943,8.05976e-96,5.05463e-38,1.04043e-95
0.039,0.961847,3.27676e+179,1.30353e-76,2.95386e+179
0.0391,0.961751,2.62896e-52,1.12913e-42,6.37258e-67
0.0392,0.961655,4.46663e-33,5.60088e-67,1.47995e-259
0.0393,0.961558,8.06346e-96,9.49624e-43,1.21804e-76
0.0394,0.961462,1.20076e-71,3.5348e-57,9.93616e-96
0.0395,0.961366,1.72559e-47,2.9104e-33,4.08721e+179
0.0396,0.96127,8.54406e-72,1.7227e-47,9.33995e-67
0.0397,0.961174,7.48419e-67,9.93613e-96,4.46663e-33
0.0398,0.961078,6.22899e-38,1.51898e-47,6.38565e-67
0.0399,0.960982,1.30353e-76,4.08447e-33,1.30353e-76
0.04,0.960886,1.72291e-47,2.90777e-33,1.12913e-42
0.0401,0.960789,2.40587e-57,8.98878e-96,8.54627e-72
0.0402,0.960693,4.66175e-62,2.78733e+179,4.66175e-62
0.0403,0.960597,7.10828e-38,1.30353e-76,1.19988e-71
0.0404,0.960501,2.40494e-57,1.72291e-47,2.90852e-33
0.0405,0.960405,1.8978e-52,3.37426e-57,3.22524e-86
0.0406,0.960309,6.12577e-62,8.52792e-96,2.90702e-33
0.0407,0.960213,2.21257e-52,5.20747e-90,3.45302e-86
0.0408,0.960117,3.0606e-57,3.69777e-33,7.85511e-67
0.0409,0.960021,5.06164e-86,2.83004e-77,1.24557e-47
0.041,0.959925,2.34147e-57,3.25195e-86,5.60088e-67
0.0411,0.959829,2.08928e-76,6.32355e-43,1.65428e-47
0.0412,0.959733,3.22524e-86,5.20938e-90,1.03878e-95
0.0413,0.959637,2.90702e-33,1.31532e-47,3.12e-33
0.0414,0.959541,3.45301e-86,2.2472e-57,1.04067e-42
0.0415,0.959445,6.59067e-43,5.20365e-90,1.57753e-52
